Hugo_Symbol	Entrez_Gene_Id	TCGA-W5-AA2I-11	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-11	TCGA-W5-AA2U-11	TCGA-W5-AA2X-11	TCGA-W5-AA30-11	TCGA-W5-AA31-11	TCGA-W5-AA34-11	TCGA-ZU-A8S4-11
CLEC2A	387836	0	0	0	0	0	0	0	0	0
CLEC2B	9976	95.3878	356.749	128.94	179.738	189.103	212.708	107.078	80.4505	137.931
CLEC2D	29121	192.872	337.466	177.293	255.652	274.573	319.607	132.486	226.066	208.526
CLEC2L	154790	0	1.3774	0	0	0	1.0908	0	0.8045	2.1721
CLEC3A	10143	0	0	0	0	1.0684	2.1816	0	0	0
CLEC3B	7123	398.323	1220.39	474.994	647.502	877.137	921.734	488.203	432.019	1205.54
CLEC4A	50856	13.6268	34.4353	13.2733	40.1898	25.641	43.6324	15.4265	13.6766	22.8075
CLEC4C	170482	0	0	1.8962	0	0	2.1816	0.9074	0	0
CLEC4D	338339	0	2.7548	1.8962	0	2.1368	1.0908	0.9074	0	6.5164
CLEC4E	26253	6.2893	30.303	18.0137	93.7762	64.1026	17.453	20.8711	4.0225	107.521
CLEC4F	165530	11.5304	20.6612	4.7405	5.5819	32.0513	42.5416	3.6298	19.3081	21.7214
CLEC4G	339390	493.711	2163.91	1313.11	1418.92	2169.87	2152.17	1201.45	687.852	3250.61
CLEC4GP1	440508	12.5786	22.0386	13.2733	2.2328	36.3248	19.6346	9.9819	11.2631	1.0861
CLEC4M	10332	232.704	665.289	726.238	715.601	3243.59	690.483	561.706	423.974	1628.02
CLEC5A	23601	5.2411	13.7741	9.4809	10.0474	24.5726	5.454	10.8893	8.0451	14.1189
CLEC6A	93978	0	1.3774	0	0	1.0684	0	0.9074	0	0
CLEC7A	64581	37.7358	249.311	75.8474	122.802	119.658	92.7188	97.0962	38.6163	79.2832
CLEC9A	283420	7.3375	23.416	6.6366	7.8147	4.2735	23.9978	5.4446	2.4135	7.6025
CLECL1	160365	0	5.5096	2.8443	16.7457	3.2051	5.454	1.8149	4.827	10.8607
CLGN	1047	74.4235	17.9063	183.93	117.22	25.641	53.4497	39.02	165.728	43.4428
CLIC1	1192	1317.61	3185.95	2607.25	2412.5	2183.76	2599.4	1495.46	1135.16	1951.67
CLIC2	1193	89.0985	384.298	150.747	164.108	173.077	201.8	156.08	111.022	249.796
