Composite.Element.REF	TCGA-A6-3807-01	TCGA-A6-3808-01	TCGA-A6-3810-01	TCGA-AA-3518-01	TCGA-AA-3525-01	TCGA-AA-3526-01	TCGA-AA-3529-01	TCGA-AA-3531-01	TCGA-AA-3534-01	TCGA-AA-3552-01	TCGA-AA-3554-01	TCGA-AA-3558-01	TCGA-AA-3561-01	TCGA-AA-3664-01	TCGA-AA-3666-01	TCGA-AA-3672-01	TCGA-AA-3684-01	TCGA-AA-3695-01	TCGA-AA-3710-01	TCGA-AA-3715-01	TCGA-AA-3818-01	TCGA-AA-3848-01	TCGA-AA-3864-01	TCGA-AA-3986-01	TCGA-AA-3989-01	TCGA-AA-A004-01	TCGA-AA-A00E-01	TCGA-AA-A00F-01	TCGA-AA-A00J-01	TCGA-AA-A00O-01	TCGA-AA-A00U-01	TCGA-AA-A010-01	TCGA-AA-A017-01	TCGA-AA-A01C-01	TCGA-AA-A01D-01	TCGA-AA-A01F-01	TCGA-AA-A01I-01	TCGA-AA-A01K-01	TCGA-AA-A01P-01	TCGA-AA-A01R-01	TCGA-AA-A01S-01	TCGA-AA-A01T-01	TCGA-AA-A01V-01	TCGA-AA-A01X-01	TCGA-AA-A01Z-01	TCGA-AA-A022-01	TCGA-AA-A024-01	TCGA-AA-A029-01	TCGA-AA-A02E-01	TCGA-AA-A02H-01	TCGA-AA-A02J-01	TCGA-AA-A02O-01	TCGA-AA-A02R-01	TCGA-AA-A02Y-01	TCGA-AA-A03F-01	TCGA-AA-A03J-01	TCGA-AF-2691-01	TCGA-AF-2692-01	TCGA-AF-3400-01	TCGA-AF-3913-01	TCGA-AG-3574-01	TCGA-AG-3580-01	TCGA-AG-3584-01	TCGA-AG-3593-01	TCGA-AG-3594-01	TCGA-AG-4007-01	TCGA-AG-A002-01	TCGA-AG-A008-01	TCGA-AG-A00C-01	TCGA-AG-A00Y-01	TCGA-AG-A011-01	TCGA-AG-A014-01	TCGA-AG-A015-01	TCGA-AG-A016-01	TCGA-AG-A01J-01	TCGA-AG-A01L-01	TCGA-AG-A01N-01	TCGA-AG-A01W-01	TCGA-AG-A01Y-01	TCGA-AG-A020-01	TCGA-AG-A026-01	TCGA-AG-A02N-01	TCGA-AG-A02X-01	TCGA-AG-A032-01	TCGA-AG-A036-01	TCGA-AA-A00A-01	TCGA-AA-A00N-01	TCGA-AA-A00K-01	TCGA-AA-A00R-01	TCGA-AG-A00H-01
PA2G4|PA2G4	-0.1003	-2.0141	-1.4346	-0.4325	-0.7952	0.3703	1.3234	0.6849	-0.8012	-0.7618	-0.5090	0.4623	0.1930	-1.0070	0.6203	0.2970	-0.1791	-0.1436	0.7478	-0.6571	0.6816	1.8605	0.9235	-0.9361	0.1938	0.1914	0.9664	0.6870	-0.2004	1.1116	1.2416	0.0720	1.6020	0.5876	-2.5180	-2.5035	0.5368	-0.4130	0.3112	1.0350	0.2989	0.1871	-0.2205	0.1564	0.4560	-0.8507	-0.2808	1.4501	-1.0577	0.3924	-2.0622	0.7885	-0.0066	0.4608	1.5509	0.9429	-0.8788	-0.1948	-0.6618	-0.3276	1.0654	0.7734	0.3436	0.0839	0.7128	-3.2197	0.1886	0.5566	-0.9002	0.7561	0.4977	0.6264	1.3254	-1.5969	1.4382	-0.4444	-0.2098	-0.2137	-0.8523	-0.0268	0.4276	1.6309	-1.7962	-0.1815	-0.9846	-0.4897	-1.7083	-0.6025	0.6905	0.6721
PAAF1|PAAF1	NaN	NaN	NaN	NaN	-0.6450	NaN	NaN	1.1109	NaN	NaN	NaN	NaN	-0.1593	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.2378	NaN	NaN	NaN	NaN	NaN	NaN	0.5457	NaN	NaN	0.6308	NaN	NaN	-0.8613	NaN	NaN	NaN	0.3944	0.8754	0.6848	NaN	-1.0262	NaN	NaN	NaN	NaN	-1.3822	NaN	-0.3473	NaN	NaN	0.8768	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.4014	-0.9960	0.3987	NaN	NaN	0.3265	NaN	NaN	NaN	0.7669	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.6336	NaN	NaN	NaN	NaN	-0.3965
PABPC1|PABPC1	0.0701	-0.4147	-0.9218	0.9520	-0.3777	0.0020	0.9067	0.6237	-0.4398	0.1028	0.0862	0.4093	0.3559	-0.5898	0.6318	0.5928	-0.2303	0.3854	0.5619	-2.4540	2.1969	1.4354	2.3064	-0.4433	0.6001	-0.0314	0.6467	1.2536	-1.4101	0.1546	0.9769	-0.5274	1.1663	0.5573	-0.8465	-1.5437	-0.1500	-0.0258	0.1092	1.3914	-0.3115	-0.3646	0.3925	-0.3758	0.1688	-1.0591	-1.4629	0.6573	-1.4417	-0.1407	-2.0332	0.4600	0.4188	-0.1616	1.4185	-0.2354	-0.2044	0.3843	-1.5080	-0.1366	1.7382	1.7394	0.2975	0.7232	0.3122	-2.4414	0.6163	0.1379	-1.9041	-0.0869	0.2331	0.7522	0.5791	-1.8075	2.1649	-0.7412	-0.0448	-0.7184	-1.2223	0.5443	0.1959	0.1540	-0.8449	-0.4690	-0.9288	-0.0893	-1.7240	-1.4055	1.4018	0.3045
PABPC4|PABPC4	0.2968	-0.2316	-0.2600	0.8763	-0.4734	-0.0146	0.9485	0.9585	-0.4858	0.0074	0.1887	0.4722	0.4008	-1.1238	0.8735	0.5467	0.4257	-0.1386	0.6331	-2.6809	0.0413	1.3036	1.8526	-0.9946	0.4387	0.5193	0.7555	1.3285	-1.3419	0.5511	0.6117	-0.3749	1.0440	0.5916	-0.0421	-1.0620	0.0341	-0.0879	0.3260	1.6277	-0.2706	-0.1670	0.6417	-0.3784	-0.2967	-1.0122	-1.8545	0.6989	-1.2279	0.1078	-1.3574	0.3740	1.1849	-0.4083	1.8681	-0.1390	-0.3539	-0.1347	-1.0809	-0.2265	2.0441	1.6350	0.1923	0.9998	0.5194	-2.7381	0.6879	-0.0563	-1.5677	0.3761	0.0494	0.4550	0.8239	-3.0773	1.1150	-0.4194	-0.0448	-0.7108	-1.1873	0.1260	0.3892	-0.1477	-1.1130	-0.3155	-1.6199	-0.0152	-1.0576	-1.5675	1.5538	0.3624
PACS1|PACS1	0.4408	NaN	-0.1210	NaN	NaN	0.5156	2.8452	-1.2980	0.7491	0.1601	NaN	NaN	NaN	-1.4371	0.6100	-0.3725	NaN	-0.2706	-1.4715	NaN	0.0053	1.2256	NaN	-0.9356	NaN	NaN	0.2922	0.7527	NaN	0.4624	NaN	NaN	NaN	0.2564	NaN	-1.7996	0.5508	2.9442	NaN	-0.4269	-0.7125	0.2557	0.1103	0.9108	-1.7768	NaN	NaN	NaN	-0.2225	0.1656	NaN	0.3028	NaN	-0.2225	NaN	NaN	NaN	0.2357	NaN	0.1984	0.7916	NaN	0.6075	NaN	0.3968	-1.4067	NaN	NaN	NaN	0.0810	-1.0195	NaN	NaN	1.0361	NaN	NaN	-1.3789	NaN	NaN	NaN	NaN	NaN	NaN	-0.5115	-0.4755	-0.3636	-0.6868	-1.5252	0.8446	0.6878
PACSIN2|PACSIN2	0.8869	0.2430	-1.0984	0.1659	0.6644	0.1995	0.4930	1.8579	-0.1089	0.1856	0.4429	0.7239	-0.6450	0.0577	0.3858	0.0367	0.4704	-0.4500	0.7017	NaN	-0.0518	1.0941	1.3807	-0.2786	0.3352	1.0793	0.5640	1.5406	-0.3511	1.8344	0.2124	0.5769	1.2179	0.7113	-0.9502	-3.1789	0.1861	0.1946	0.1173	0.6445	-0.0260	0.4957	0.4965	-0.3768	NaN	-0.5694	0.3735	0.5930	-0.1855	-0.3963	-2.9490	0.2274	-0.2321	0.0987	0.6741	-2.6206	-1.6089	-0.7956	-0.3793	-0.5391	0.1425	1.2366	0.6601	0.5259	0.6231	-2.0871	1.0210	-0.1587	-1.3730	0.0580	0.5655	0.0624	-0.0378	-2.5132	2.0482	0.3313	-0.8272	-0.0093	-0.6488	-0.1391	-0.1358	0.8371	0.1875	-0.5145	-1.1531	-0.0588	-2.1382	-1.7803	0.3910	0.5132
PACSIN3|PACSIN3	NaN	0.4683	NaN	NaN	-0.1130	NaN	0.4276	1.5019	NaN	-0.2416	-0.6442	NaN	NaN	NaN	NaN	-0.5945	NaN	NaN	-1.5406	NaN	NaN	-0.0604	NaN	-1.5436	NaN	NaN	NaN	NaN	NaN	1.8773	NaN	NaN	NaN	NaN	-1.1364	NaN	-0.8191	NaN	-0.3975	1.6377	NaN	NaN	NaN	0.0818	NaN	NaN	NaN	NaN	NaN	-0.0834	-0.4842	NaN	-0.8832	-0.3854	NaN	NaN	NaN	NaN	NaN	NaN	1.7281	1.1455	NaN	NaN	NaN	NaN	1.0829	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.8168	NaN	1.4611	NaN	-0.5337	NaN	NaN	NaN	-0.7052	NaN	NaN	-0.4293	NaN	NaN
PADI2|PADI2	1.3469	-0.4599	NaN	0.7253	NaN	-0.0227	0.6252	-3.8119	1.4090	1.2651	0.0349	0.3679	NaN	-0.4220	NaN	-0.2963	0.9195	NaN	0.1908	-1.3588	1.4871	0.2444	1.7608	-1.9833	-0.6715	1.5160	-0.4756	1.0819	NaN	NaN	-1.0483	1.3165	0.6736	0.7722	NaN	NaN	-0.5899	-0.9187	0.0166	0.7504	0.3188	0.7545	-0.5011	-0.0288	-0.8509	-1.3852	0.6555	NaN	NaN	NaN	-1.5490	-0.2337	1.1699	NaN	-0.0553	NaN	NaN	-1.1343	-1.0913	NaN	NaN	-0.1383	0.9021	0.6776	0.5950	-0.6315	0.1836	-0.1257	-0.6921	-1.9307	0.4741	-0.0669	0.0117	NaN	1.0621	1.5548	-0.0007	0.2994	NaN	0.1329	-1.1539	NaN	-0.0801	-0.1921	NaN	-1.0801	-0.9604	-0.3557	0.2270	0.7736
PADI4|PADI4	0.9063	-0.5292	-0.0410	-0.6099	0.2015	0.6534	0.1932	NaN	NaN	-3.2980	0.6796	1.2811	NaN	NaN	-1.1150	0.8340	NaN	-1.4206	0.5488	NaN	NaN	NaN	0.4851	-0.5919	NaN	0.3504	0.1179	NaN	-2.9320	NaN	NaN	0.4645	0.3523	NaN	NaN	NaN	NaN	0.1959	1.5220	0.6739	-0.6885	NaN	-0.4088	NaN	NaN	-0.4501	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.5956	0.8881	NaN	NaN	-0.7779	0.8582	-0.1744	NaN	0.1688	NaN	0.5459	0.8163	-0.2566	1.0900	NaN	NaN	NaN	-1.0776	0.3017	NaN	NaN	-0.6133	NaN	0.6459	NaN	NaN	-0.0974	0.3144	NaN	NaN	NaN	NaN	0.3687	0.8247	-1.3016	0.0077	1.6889
PAF1|PAF1	NaN	NaN	-0.5866	0.2498	0.1775	1.5176	0.0031	2.0596	0.2833	NaN	-0.7244	NaN	0.1558	-0.3187	0.2135	1.0143	NaN	-1.9771	NaN	NaN	NaN	NaN	0.6970	NaN	NaN	NaN	NaN	NaN	-0.8385	NaN	-1.2022	-0.1408	0.1337	0.6695	NaN	-1.6912	NaN	NaN	1.0991	0.7738	0.7352	NaN	NaN	0.1499	-1.6485	NaN	NaN	0.6257	-1.9564	NaN	NaN	0.5315	NaN	-0.0598	0.3718	-1.3066	NaN	-0.0413	NaN	0.0679	NaN	NaN	NaN	NaN	NaN	NaN	1.3881	NaN	NaN	-0.6143	NaN	-0.3313	1.3945	-2.1406	NaN	NaN	0.8232	NaN	NaN	0.7806	0.3824	0.5379	NaN	NaN	-1.8081	1.1976	NaN	0.1245	-0.0715	-0.7009
PAFAH1B1|PAFAH1B1	0.3235	0.3876	-1.1004	0.4238	1.4405	0.4174	0.3987	1.1358	-0.0802	-0.0486	-0.1828	-0.0265	-0.7216	-0.4880	0.5218	0.6029	0.4214	0.4251	0.3405	-3.5099	0.8195	0.5576	0.7645	0.1624	1.3917	0.6265	1.7661	0.7893	-0.5953	0.6665	0.4306	0.5517	1.3169	0.4430	-1.2526	-1.2817	0.3874	0.1176	0.7418	0.4285	-0.5561	0.4529	-0.3106	0.1752	NaN	-0.1340	-0.0104	0.2004	-0.6036	0.1482	-1.9561	0.0358	-0.2699	0.5610	0.2743	-0.9962	-1.4650	0.3921	-0.0403	-0.2706	1.9111	0.3609	-0.6166	0.3799	0.1390	-2.3347	-0.2482	-0.0392	-4.1982	0.5881	0.5361	-0.1802	0.5058	-2.6734	0.9887	0.5927	0.4057	-0.7922	-0.6626	0.4807	-0.1221	-0.1583	-1.4870	-0.6637	-0.6140	0.1742	1.7298	0.1631	0.2999	0.3945
PAFAH1B2|PAFAH1B2	-0.2093	0.8476	-1.5843	-0.5071	1.1989	NaN	-0.1161	NaN	-0.1361	-0.5232	-0.6203	-0.0418	-0.6501	-0.6531	-0.2582	-0.2304	-0.1043	-0.3605	1.8693	-1.1530	0.3215	-0.0065	0.3308	1.5628	-0.1786	1.5782	-1.7480	1.2917	-0.2159	0.9508	0.4752	1.4436	0.0295	0.1115	-0.5037	-2.5273	-0.0885	0.5532	1.3157	2.1499	-1.4282	NaN	0.5685	-0.5335	-2.4768	1.2841	0.7254	-1.2185	-1.0266	-0.4771	NaN	0.2958	1.4150	-1.0594	0.3376	NaN	NaN	-0.1685	-0.5535	-0.7913	1.9811	0.5609	-1.5092	0.4307	-1.3067	NaN	0.1014	0.3380	NaN	-1.6835	1.3493	0.6531	0.4682	-1.4715	0.9243	0.8401	NaN	-0.2723	0.2993	0.5350	-0.7367	-0.7615	-0.0600	0.2630	NaN	0.9827	-0.4576	-1.1439	1.1042	0.0649
PAFAH1B3|PAFAH1B3	NaN	NaN	NaN	NaN	0.1836	1.0144	NaN	1.9670	-0.8675	NaN	NaN	-0.6211	0.6758	0.0629	NaN	-0.8924	NaN	NaN	NaN	NaN	0.4651	-0.0538	NaN	0.9209	NaN	-0.2168	NaN	1.0576	0.9473	1.8058	0.4564	-0.7013	1.4465	0.3750	NaN	NaN	-0.3616	NaN	0.7871	0.8123	0.3663	0.7463	NaN	0.4248	-2.0125	-0.3804	1.4180	-0.6887	-0.3672	NaN	NaN	1.2639	-0.6649	-0.2291	NaN	-1.4428	NaN	-1.1954	0.6278	NaN	2.3693	NaN	NaN	NaN	NaN	-2.7468	0.1542	0.1493	-0.4295	0.0356	-0.6281	-0.5625	-0.2248	NaN	-0.3984	0.6844	-0.1521	NaN	NaN	0.6135	-0.9679	NaN	-0.9002	-1.0099	-1.9658	0.7319	NaN	-1.3244	-0.2626	-0.2946
PAFAH2|PAFAH2	NaN	NaN	NaN	NaN	NaN	-0.5046	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.5761	NaN	NaN	NaN	NaN	-1.3671	NaN	NaN	0.6122	NaN	NaN	-0.1919	NaN	NaN	0.6338	NaN	NaN	-2.5747	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.7322	NaN	NaN	NaN	0.0725	NaN	NaN	0.4710	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4503	NaN	0.9900	NaN	NaN	NaN	-0.7086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8087
PAICS|PAICS	0.4499	0.4737	-0.8899	1.1023	-1.0685	0.0239	1.1873	1.2768	0.2476	0.0717	0.1863	1.3925	1.1750	0.0784	0.2993	1.2074	-0.5807	0.1260	0.8751	-1.3504	0.4146	1.9140	2.3413	0.2753	1.2174	0.5653	0.2115	0.7178	-1.0342	0.9524	0.7919	-0.3768	0.7021	0.2277	-1.2002	-1.1612	-0.3194	-0.1585	-0.0230	0.7925	-0.0105	-0.5753	0.7648	-0.4560	-4.3314	-0.8996	-0.3346	0.1206	-1.1856	0.1398	-1.2996	0.5018	-0.1157	-0.5649	0.1751	-0.2645	0.5051	0.2921	-0.4115	0.1653	1.4359	1.7958	-0.2459	1.0825	-0.7588	-1.8298	0.8328	0.2089	-1.4885	0.3679	1.0511	0.4803	-0.0034	-2.2444	0.7667	-0.5493	-1.1448	-0.4452	-0.8130	0.3312	-0.6682	-0.1777	0.2334	-0.9474	-1.7479	0.1052	-0.4094	-1.4142	0.9824	-0.1353
PAIP1|PAIP1	-0.7416	NaN	-0.5436	0.5522	-0.1542	0.2575	0.7009	1.3898	NaN	-0.0788	0.4106	-1.9788	-1.4433	0.1445	0.3251	0.5397	-0.6337	0.8686	-0.4006	NaN	-0.0774	1.4145	0.8882	-0.9660	0.9051	NaN	1.1776	1.2962	-2.0296	0.7549	0.5509	NaN	1.4159	0.8696	NaN	-0.6167	0.4214	0.7394	0.3577	0.7765	0.4498	-0.2423	1.1061	-0.2191	-1.9105	-1.5572	-1.2982	1.0547	0.2921	0.4622	-0.9275	0.2107	-1.9367	0.0437	0.3556	0.8466	0.5686	0.5696	-2.6545	0.5589	0.8679	0.0009	1.0359	1.5971	0.2880	-2.3331	-0.2995	0.5778	-0.7821	0.8210	0.7168	-0.2222	0.7607	-1.6425	0.7600	-0.5360	0.6850	-0.9255	-2.4616	0.3759	1.0141	0.1688	-0.8923	-0.0713	-1.0453	-1.0069	-0.9175	-0.7061	0.5817	0.7256
PAK1|PAK1	0.3431	-0.0920	0.0005	0.5027	-0.2520	0.2683	1.0423	3.0450	-0.5798	-0.4286	0.1785	0.4440	0.8539	-1.1718	0.6399	0.5182	0.1801	-0.0008	0.2086	-2.0269	-0.0584	1.3684	0.8785	-0.8030	0.5494	0.2946	0.9351	1.2516	-1.2889	0.5269	0.3499	0.0981	0.6465	0.9087	-1.3102	-1.3336	-0.0175	-0.4865	0.6359	0.4498	-0.2298	0.7793	0.7444	-0.3911	-2.9030	-1.5175	-0.9359	0.8665	1.1316	-0.0805	-1.2853	0.2836	-0.0495	0.1928	1.0517	-0.2464	-0.4478	-0.0585	-1.1112	2.2388	0.3481	0.8647	0.6684	0.9808	0.3497	-1.4904	0.5842	0.1152	-1.5523	0.5999	-0.1112	0.0438	0.8330	-3.3057	2.1274	-0.3921	0.1969	-0.4395	-0.8133	-0.8939	0.0318	0.3003	-1.3487	-0.0326	-1.2356	-0.5734	-1.1459	-0.9695	0.5229	0.4367
PAK1IP1|PAK1IP1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.1981	NaN	0.3539	NaN	NaN	0.0572	NaN	NaN	0.2140	NaN	NaN	NaN	0.3949	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.9624	NaN	NaN	NaN	NaN	-0.1319	NaN	NaN	NaN	-0.6298	-1.4980	NaN	NaN	-1.4028	NaN	NaN	NaN	-0.5932	1.4888	0.9948	NaN	-0.3602	NaN	NaN	2.2342	-0.2064	-0.2207	NaN	NaN	0.7015	NaN	0.5223	NaN	NaN	NaN	2.1904	NaN	NaN	-2.0611	NaN	NaN	-1.0329	0.1314	NaN	NaN	NaN	-0.0777	-0.2081	NaN	-0.9774	-0.0086	NaN	NaN	NaN	NaN	-0.6388	NaN	NaN	NaN	NaN
PAK2|PAK2	0.5682	-0.1293	0.2846	0.8097	-0.3223	0.3283	1.1666	1.1134	-0.5837	-0.0599	0.3489	0.5931	0.5878	-0.7947	0.9515	0.5351	0.3729	-0.0463	0.4636	-2.8968	-0.0605	1.5777	0.8699	-0.8116	0.6072	0.4388	1.0264	1.4327	-0.9634	0.7388	0.9150	0.0241	1.0352	1.0654	-1.7248	-1.4981	0.0556	-0.1133	0.7606	0.7209	-0.1827	0.4750	1.1098	-0.3543	-2.7837	-1.1580	-1.0449	1.1141	-0.8096	0.0700	-1.4045	0.4723	-0.0974	0.1802	1.1617	-0.2441	-1.7502	0.0043	-1.0022	0.5056	0.7581	0.9992	0.8187	1.3439	0.4449	-2.0024	0.5968	0.1416	-1.8953	0.9147	0.0144	0.3939	0.8999	-3.2138	1.2515	-0.1857	0.0046	-0.5527	-0.4406	-0.5873	0.1208	0.2454	-1.2777	-0.2079	-1.2657	-0.4018	-1.0291	-0.9443	0.8136	0.5938
PAK4|PAK4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8909	NaN	NaN	0.3529	NaN	-1.5759	-1.8405	NaN	NaN	NaN	-1.2817	1.2506	NaN	NaN	-1.3803	1.8066	NaN	-1.2066	NaN	0.2294	NaN	0.4432	1.3274	NaN	NaN	-0.3434	-0.0111	NaN	0.3786	0.2292	-1.4095	NaN	NaN	0.2379	1.5223	-0.2688	NaN	NaN	NaN	NaN	0.4074	0.5533	NaN	NaN	NaN	NaN	NaN	NaN	0.5313	-0.7305	0.1063	NaN	NaN	NaN	0.8792	0.3992	NaN	NaN	NaN	NaN	NaN	NaN	-0.2471	NaN	0.6571	NaN	-0.9182	NaN	NaN	NaN	-0.8269	NaN	2.0446	NaN	NaN	NaN	-0.2858	-0.5977	NaN	-1.3233	NaN	NaN	NaN
PALD1|PALD1	NaN	-1.6830	-0.7275	NaN	NaN	0.1497	1.0673	1.8293	NaN	NaN	NaN	1.6567	0.3212	-2.7514	0.5508	NaN	-0.4825	-0.7510	NaN	NaN	NaN	1.3152	NaN	-1.6552	1.5290	NaN	NaN	NaN	NaN	1.1347	0.2515	NaN	NaN	0.2939	NaN	0.3230	-0.2953	NaN	NaN	NaN	0.2287	NaN	0.2627	1.0331	-1.1941	NaN	NaN	-0.0933	-0.3904	NaN	-0.1938	0.5390	NaN	NaN	NaN	-0.2513	NaN	-0.4559	NaN	-0.4897	NaN	0.9209	NaN	0.2203	NaN	NaN	-1.3441	NaN	NaN	0.8530	NaN	0.2486	1.0958	-2.3291	0.9943	NaN	0.0645	-0.6856	0.3283	NaN	-0.6269	NaN	NaN	0.1086	NaN	-0.3102	NaN	-0.6099	NaN	NaN
PALLD|PALLD	0.2381	2.0423	0.9814	0.0242	-1.0439	0.3053	0.9477	1.1548	-0.0951	-0.0609	0.4134	-1.6290	-0.0436	-0.4780	-0.9818	-0.9656	0.5365	1.0951	-0.1903	-1.3577	1.7079	1.2390	0.9691	0.5117	-0.5932	0.1176	-0.4847	0.8439	-0.7993	0.6128	0.0628	-0.7150	0.7871	0.8900	0.5153	-3.6942	-0.0914	0.6817	0.5915	0.0767	-0.5025	-0.3494	0.8477	-0.7438	0.3665	-0.0636	-0.7310	-0.5228	0.2648	0.0149	-2.0888	0.0653	-0.4222	0.4051	0.2960	-0.5614	-3.2145	1.3040	-0.9064	1.1561	-0.2262	-1.1058	0.7884	-0.0838	0.0969	-0.9618	-0.0826	-0.2612	-1.6647	0.6851	-0.3606	0.5936	-0.0890	-1.1517	1.7596	0.1933	-0.0050	-1.0574	2.4614	-0.5409	1.0166	-0.7664	-1.0004	-0.8638	0.9213	0.3715	0.0250	1.1576	0.4078	1.0067
PANK2|PANK2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PANK4|PANK4	0.6280	-0.6633	NaN	-0.8039	-0.3870	-0.2382	0.6789	-0.1616	NaN	NaN	0.1359	-0.9141	0.0759	NaN	-1.1572	0.9710	0.3508	0.2616	1.2675	-1.5061	NaN	1.1239	0.1728	NaN	2.0150	1.0270	0.5909	-0.1706	0.6872	1.1644	0.6688	0.0339	1.6168	0.0444	NaN	NaN	-0.1291	0.1295	NaN	0.5521	0.1922	0.5341	0.4649	-2.0779	-2.2079	NaN	NaN	-0.2017	-1.7463	-0.7962	-0.5070	-0.2858	-0.1255	-0.7867	0.1577	1.6154	-0.0378	-1.7147	NaN	0.6166	-0.7569	0.6640	1.6097	NaN	0.6666	NaN	-0.2978	-0.2699	NaN	-1.0785	0.0214	-0.2546	-0.0777	-3.2580	1.6310	1.5342	-0.5323	-0.6770	-0.7040	2.1941	-0.4729	0.6750	NaN	-0.2851	-1.3011	0.5357	-0.7251	-0.6732	0.0681	0.6056
PAPOLA|PAPOLA	NaN	NaN	NaN	0.8907	-1.6754	0.6855	-1.3635	1.5906	0.7084	-0.3540	NaN	0.5535	-0.3814	-0.8140	NaN	NaN	NaN	0.8558	NaN	NaN	-0.2009	0.2536	1.1831	NaN	0.0935	NaN	NaN	1.2660	-1.5780	NaN	0.0995	NaN	NaN	-0.3562	NaN	-0.6963	1.7220	NaN	NaN	0.3578	0.5613	0.4641	NaN	-1.2961	NaN	NaN	NaN	NaN	NaN	NaN	-0.3224	1.7233	NaN	-0.6105	NaN	NaN	-0.0780	-0.4827	NaN	NaN	NaN	1.1947	0.4211	NaN	-0.4305	-1.4574	-0.8646	0.7108	-1.3437	1.1447	NaN	NaN	-0.1369	-1.6491	NaN	0.3324	1.3604	NaN	NaN	NaN	NaN	0.2412	0.0280	NaN	-2.4095	0.0590	NaN	NaN	NaN	NaN
PAPSS1|PAPSS1	0.8905	-0.2731	-0.6812	1.1049	-1.5569	0.3470	0.4033	0.5756	0.3684	0.3333	0.1894	0.5420	0.8230	-0.1555	0.3558	0.2984	0.6119	0.8370	0.8425	-2.3742	0.3574	0.4572	1.4935	0.0158	-0.3195	0.3885	0.8391	1.0836	-0.3779	NaN	1.0610	0.8833	1.1798	0.1085	-1.5721	-2.2873	0.1996	-0.1856	-0.1494	2.5198	-0.4064	0.5231	0.9598	0.2631	-0.6154	-0.4893	-0.0803	0.7336	-1.3439	NaN	-1.1050	0.5954	-2.8244	0.4104	1.3179	-0.6650	NaN	0.5459	-0.8384	-1.6858	0.6060	0.6434	0.7455	0.2034	1.0041	-1.5127	0.1394	0.6769	-0.1939	0.0356	0.9086	-0.1292	-0.0292	-2.7700	1.4428	0.0204	-2.0045	-0.1702	NaN	-0.3369	-0.2875	0.1936	NaN	-0.9955	-0.6741	0.4853	-1.3252	-1.6868	-0.2580	0.7960
PAPSS2|PAPSS2	1.2601	-1.2155	-1.1396	0.7928	NaN	0.1343	0.5876	0.3037	0.5312	0.1112	0.2315	0.9077	0.7328	-0.0116	0.1872	0.7181	1.3529	0.1828	0.9275	NaN	-0.1081	0.5933	0.7676	-1.4819	0.3536	0.9278	1.0998	0.7457	0.3548	NaN	1.1981	1.5871	0.9884	0.4533	-2.7812	-1.8477	0.5347	-0.1654	-0.4806	1.7957	-0.2345	0.7302	0.9450	-0.4876	0.2589	-1.2617	-0.0220	1.0564	-1.9070	NaN	-0.7410	0.7266	-0.5300	0.3920	1.6116	-0.7402	NaN	0.2151	-0.8298	-0.7634	0.6637	-0.2930	0.7370	0.1113	1.0670	-2.3375	0.3113	0.7439	-0.7212	0.2382	0.4686	-1.1289	-0.0366	-2.5375	0.8814	0.2830	-0.6937	0.0775	NaN	-0.5885	-0.3908	-0.0630	-1.3746	-0.9630	-2.7417	0.2253	-1.0324	-1.2819	0.0585	0.7694
